Medication,Time,Indication,Outcome,Product
abilify,N/A,Major Depression likely,Decline,CFG Term
amantadine hcl,N/A,Parkinson's,Decline,CFG Term
ambisome,N/A,HIV Treatment likely,Decline,CFG Term
anastrozole,N/A,Cancer,Decline,CFG Term
antabuse,N/A,Alcoholism,Decline,CFG Term
aptivus,N/A,HIV Treatment likely,Decline,CFG Term
aranesp,N/A,Kidney Disease,Decline,CFG Term
aricept,N/A,Alzheimer’s/Dementia,Decline,CFG Term
arimidex,N/A,Cancer,Decline,CFG Term
aromasin,N/A,Cancer,Decline,CFG Term
atamet,N/A,Parkinson's,Decline,CFG Term
atgam,N/A,Organ/Tissue Transplant likely,Decline,CFG Term
atripla,N/A,HIV Treatment likely,Decline,CFG Term
avonex,N/A,Multiple Sclerosis,Decline,CFG Term
belbuca,N/A,Drug Abuse,Decline,CFG Term
betaseron,N/A,Multiple Sclerosis,Decline,CFG Term
bidil,N/A,Congestive Heart Failure likely,Decline,CFG Term
buprenex,N/A,Drug Abuse,Decline,CFG Term
calcijex,N/A,Kidney Disease,Decline,CFG Term
calcitriol,N/A,Kidney Disease,Decline,CFG Term
calcium acetate,N/A,Kidney Disease,Decline,CFG Term
campath,N/A,Cancer,Decline,CFG Term
campral,N/A,Substance Abuse,Decline,CFG Term
carbidopa,N/A,Parkinson’s,Decline,CFG Term
carnitor,N/A,Kidney Disease / CHF / Cardiomyopathy,Decline,CFG Term
casodex,N/A,Cancer,Decline,CFG Term
chlorpromazine,N/A,Schizophrenia likely,Decline,CFG Term
clopidogrel,N/A,"Stroke, TIA or CAD",Decline,CFG Term
clozapine,N/A,Schizophrenia,Decline,CFG Term
clozaril,N/A,Schizophrenia,Decline,CFG Term
cognex,N/A,Alzheimer’s/Dementia,Decline,CFG Term
combivir,N/A,HIV treatment likely,Decline,CFG Term
copaxone,N/A,Multiple Sclerosis,Decline,CFG Term
crofelemer,N/A,HIV treatment likely,Decline,CFG Term
cyclosporine,N/A,Organ Transplant,Decline,CFG Term
medication,N/A,Medical Condition,Decline,CFG Term
cystagon,N/A,Kidney Disease,Decline,CFG Term
cytogam,N/A,Organ Transplant,Decline,CFG Term
daliresp,N/A,COPD,Decline,CFG Term
digoxin,N/A,Congestive Heart Failure likely,Decline,CFG Term
disulfiram,N/A,Alcoholism,Decline,CFG Term
donepezil,N/A,Alzheimer’s/Dementia,Decline,CFG Term
dornase alpha,N/A,Cystic Fibrosis,Decline,CFG Term
emend,N/A,Cancer,Decline,CFG Term
emsam,N/A,Major Depression likely,Decline,CFG Term
emtriva,N/A,HIV treatment likely,Decline,CFG Term
epivir,N/A,HIV treatment likely,Decline,CFG Term
epzicom,N/A,HIV,Decline,CFG Term
evzio,N/A,Alcohol or Drug Abuse,Decline,CFG Term
exelon,N/A,Alzheimer’s / Dementia,Decline,CFG Term
femara,N/A,Cancer,Decline,CFG Term
filgrastim,N/A,Cancer likely,Decline,CFG Term
flutamide,N/A,Cancer,Decline,CFG Term
foscavir,N/A,HIV treatment likely,Decline,CFG Term
fosrenol,N/A,Kidney Disease,Decline,CFG Term
fulyzaq,N/A,HIV treatment likely,Decline,CFG Term
galantamine,N/A,Alzheimer’s/Dementia,Decline,CFG Term
ganciclovir,N/A,HIV Treatment likely / Organ Transplant,Decline,CFG Term
gengraf,N/A,Organ Transplant,Decline,CFG Term
geoden,N/A,Schizophrenia likely,Decline,CFG Term
haldol,N/A,Schizophrenia likely,Decline,CFG Term
haloperidol,N/A,Schizophrenia likely,Decline,CFG Term
halperidone,N/A,Schizophrenia likely,Decline,CFG Term
harvoni,N/A,Hepatitis C,Decline,CFG Term
hectorol,N/A,Kidney Disease,Decline,CFG Term
hydrea,N/A,Cancer,Decline,CFG Term
hydroxyurea,N/A,Cancer,Decline,CFG Term
insulin prior to age 50,N/A,Diabetes,Decline,CFG Term
interferon,N/A,Hepatitis likely,Decline,CFG Term
intron-a,N/A,Cancer or Hepatitis C,Decline,CFG Term
invega,N/A,Schizophrenia likely,Decline,CFG Term
invirase,N/A,HIV treatment likely,Decline,CFG Term
isosorbide,N/A,Heart Disease,Decline,CFG Term
lamivudine-zidovudine,N/A,HIV treatment likely,Decline,CFG Term
lanoxin,N/A,Congestive Heart Failure possible / Arrhythmia,Decline,CFG Term
larodopa,N/A,Parkinson’s,Decline,CFG Term
medication,N/A,Medical Condition,Decline,CFG Term
latuda,N/A,Bipolar / Schizophrenia likely,Decline,CFG Term
levodopa,N/A,Parkinson’s,Decline,CFG Term
lexiva,N/A,HIV treatment likely,Decline,CFG Term
lupron,N/A,Cancer,Decline,CFG Term
megestrol,N/A,Cancer or HIV,Decline,CFG Term
memantine,N/A,Alzheimer’s / Dementia,Decline,CFG Term
mercaptopurine,N/A,Cancer,Decline,CFG Term
methadone,N/A,Substance abuse possible,Decline,CFG Term
namenda,N/A,Alzheimer’s / Dementia,Decline,CFG Term
narcan,N/A,Alcohol / Drugs,Decline,CFG Term
naloxone,N/A,Alcohol / Drugs,Decline,CFG Term
naltrexone,N/A,Alcohol / Drugs,Decline,CFG Term
navane,N/A,Schizophrenia likely,Decline,CFG Term
neupogen,N/A,Cancer likely,Decline,CFG Term
nintedanib,N/A,Pulmonary Fibrosis likely,Decline,CFG Term
nitrostat,N/A,Angina / Cardiac Chest Pain,Decline,CFG Term
nitro,N/A,Angina / Cardiac Chest Pain,Decline,CFG Term
nitroglycerin,N/A,Angina / Cardiac Chest Pain,Decline,CFG Term
norvir,N/A,HIV treatment likely,Decline,CFG Term
ofev,N/A,Pulmonary Fibrosis likely,Decline,CFG Term
pegintron,N/A,Hepatitis / Melanoma,Decline,CFG Term
peginterferon,N/A,Hepatitis / Melanoma,Decline,CFG Term
