Medication ,Indication ,Rx Fill Within ,Benefit Eligibility 
Abilify ,Psychotic Disorder ,N/A ,Level 
Abraxane ,Cancer ,3 years Current Use ,Modified No Coverage 
Accupril ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Accuretic ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Acebutolol HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Aceon ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Acetyl L-Carnitine ,Alzheimer’s / Dementia ,N/A ,No Coverage 
Actiq ,Cancer Pain Severe Pain ,3 years N/A ,Modified Level 
Activase ,Stroke/TIA/Heart Attack ,2 years ,Modified 
Actoplus ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Actos ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Adalat ,Hypertension ,N/A ,Level 
Adriamycin ,Cancer ,3 years Current Use ,Modified No Coverage 
Adrucil ,Cancer ,3 years Current Use ,Modified No Coverage 
Advair ,Asthma COPD / Emphysema ,N/A N/A ,Level Graded 
Afinitor ,Cancer ,3 years Current Use ,Modified No Coverage 
Agenerase ,AIDS ,N/A ,No Coverage 
Aggrastat ,Heart Attack ,2 years ,Modified 
Aggrenox ,Stroke / TIA ,First Fill <2years First Fill >2 years ,Modified Level 
Agrylin ,Cancer ,3 years Current Use ,Modified No Coverage 
Akineton ,Parkinson’s Other Use ,N/A N/A ,Graded Level 
Albuterol ,Asthma COPD ,N/A N/A ,Level Graded 
Aldactazide ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Aldactone ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Aldomat ,Hypertension ,N/A ,Level 
Alimta ,Cancer ,3 years Current Use ,Modified No Coverage 
Alkeran ,Cancer ,3 years Current Use ,Modified No Coverage 
Allopurinol ,Gout ,N/A ,Level 
Aloxi ,Cancer ,3 years Current Use ,Modified No Coverage 
Alprazolam ,Anxiety Disorder ,N/A ,Level 
Altace ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Amantadine HCL ,Parkinson’s ,N/A ,Graded 
Amaryl ,Diabetes Diabetic Nephropathy/Neuropathy ,N/A 2 years ,Level Modified 
Ambisome ,AIDS ,N/A ,No Coverage 
Amifostine ,Cancer ,3 years Current Use ,Modified No Coverage 
Amiloride HCL ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Amlodipine Besylate/Benaz ,Hypertension CHF ,N/A N/A ,Level No Coverage 
Amyl Nitrate ,Angina CHF ,2 years N/A ,Modified No Coverage 
Anagrelide HCL ,Cancer ,3 years Current Use ,Modified No Coverage 
Angiomax ,Circulatory Surgery ,2 years ,Modified 
Antabuse ,Alcohol / Drugs ,2 years ,Modified 
Anastrozole ,Cancer ,First Fill <3years First Fill >3 years ,Modified Level 
Anoro Ellipta ,COPD ,N/A ,Graded 
Anzemet ,Cancer ,3 years Current Use ,Modified No Coverage 
Aptivus ,AIDS ,N/A ,No Coverage 
Apokyn ,Parkinson’s ,N/A ,Graded 
Apresoline ,Hypertension CHF ,N/A N/A ,Level No Coverage 
